"","OP_CODIGO","OP_PROVINCIA_CODIGO","OP_CANTON_CODIGO","OP_PARROQUIA_CODIGO","OP_TIPO","OP_AMBITO","OP_NOMBRE","OP_SIGLAS","OP_LISTA"
"162",181450000205,18,145,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA FRENTE PATRIOTICO                                                                                                                                                                               ","PSP/MPD /MUPP-NP                                  ","3-15-18   "
"163",181500000043,18,150,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO INDEPENDIENTE UNIDAD BANEÑA                                                                                                                                                                 ","MIUB                                              ","43        "
"164",181500000206,18,150,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA UNIDAD BANEÑA                                                                                                                                                                                  ","PS-FA /MCNP /MIFC                                 ","17-21-42  "
"165",181550000207,18,155,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA FRENTE CIVICO PACHAKUTIK NUEVO PAIS                                                                                                                                                             ","MUPP-NP /MCNP /MIFC                               ","18-21-42  "
"166",190000000042,19,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO PROGRESISTA ZAMORA CHINCHIPE                                                                                                                                                                 ","MPZCH                                             ","42        "
"167",190000000201,19,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA PROGRESISTA                                                                                                                                                                                     ","CFP/ID /AN /MPZCH                                 ","4-12-14-42"
"168",190000000202,19,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA PROVINCIAL MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK Y PARTIDO SOCIALISTA FRENTE AMPLIO                                                                                                     ","PS-FA /MUPP-NP                                    ","17-18     "
"169",196550000043,19,655,0,"MOVIMIENTOS CANTONALES                            ","CANTONAL                                          ","MOVIMIENTO INDEPENDIENTE NUEVO ZAMORA                                                                                                                                                                   ","MINZA                                             ","43        "
"170",200000000042,20,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO DE IDENTIDAD PROVINCIAL                                                                                                                                                                      ","MIP                                               ","42        "
"171",210000000041,21,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO INDEPENDIENTE AMAZONICO                                                                                                                                                                      ","M.I.A.                                            ","41        "
"172",210000000201,21,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA IZQUIERDA DEMOCRATICA/MOVIMIENTO INDEPENDIENTE AMAZONICO M.I.A                                                                                                                                  ","ID /M.I.A.                                        ","12-41     "
"173",210000000202,21,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO UNIDAD PLURINACIIONAL PACHAKUTIK -NUEVO PAIS/MOVIMIENTO CIUDADANOS NUEVO PAIS                                                                                                        ","MUPP-NP /MCNP                                     ","18-21     "
"174",220000000042,22,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","MOVIMIENTO DE INTEGRACION PROVINCIAL                                                                                                                                                                    ","MIP                                               ","42        "
"175",220000000060,22,0,0,"MOVIMIENTOS PROVINCIALES                          ","PROVINCIAL                                        ","ALIANZA AMAZONICA                                                                                                                                                                                       ","AA                                                ","60        "
"176",220000000201,22,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA UNION NACIONAL - UNO/ CONCENTRACION DE FUERZAS POPULARES                                                                                                                                        ","UN - UNO/CFP                                      ","1-4       "
"177",220000000202,22,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA IZQUIERDA DEMOCRATICA/MOVIMIENTO CIUDADANOS NUEVO PAIS                                                                                                                                          ","ID /MCNP                                          ","12-21     "
"178",220000000203,22,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA INTEGRACIÓN MUSHUK INTI                                                                                                                                                                        ","AN /PS-FA /DP-UDC                                 ","14-17-5   "
"179",220000000204,22,0,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA MOVIMIENTO DE INTEGRACION PROVINCIAL/PARTIDO ROLDOSISTA ECUATORIANO                                                                                                                             ","MIP /PRE                                          ","42-10     "
"180",226450000205,22,645,0,"ALIANZAS                                          ","ALIANZA                                           ","ALIANZA INTEGRACION MUSHUK INTI                                                                                                                                                                         ","AN /PS-FA /DP-UDC/MIAJ                            ","14-17-5-28"
